Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
XCOM: Enemy Within,https://www.xbox.com/en-us/games/store/XCOM-Enemy-Within/C48PP1NS6ZNP,C48PP1NS6ZNP,Xbox,,Removed,Jun 2017,May 2018,11.0,Nov 2013,3.55,88,28.0,Strategy / RPG,,,,,,,,
The Witness,https://www.xbox.com/en-us/games/store/The-Witness/BX1WPT5RJSB2,BX1WPT5RJSB2,XB1/Series X|S,,GwG Temporary,Apr 2018,Apr 2018,0.97,Jan 2016,2.18,87,,Puzzle,,,,,,,,
Lumo,https://www.xbox.com/en-us/games/store/lumo-2/9NP986C45P27,9NP986C45P27,Xbox,,Removed,Jun 2017,Apr 2018,10.97,Apr 2016,1.11,77,5.0,Action-Adventure,,,,,,,,
Cars 2: The Video Game,https://www.xbox.com/en-us/games/store/Cars-2-The-Video-Game/BVMM601GHXZ6,BVMM601GHXZ6,XB360/OG Xbox,,GwG Permanent,Apr 2018,Apr 2018,0.47,Jun 2011,6.78,59,,Racing,,Backwards Compatible,,,,,,
Superhot,https://www.xbox.com/en-us/games/store/SUPERHOT/BVZ0D05W8MP2,BVZ0D05W8MP2,XB1/Series X|S,,GwG Temporary,Mar 2018,Apr 2018,0.97,Feb 2016,2.06,83,,Shooter,,,,,,,,
NBA 2K17,https://www.xbox.com/en-us/games/store/NBA-2K17/C49TBJ4DHFHW,C49TBJ4DHFHW,Xbox,,Removed,Feb 2018,Apr 2018,2.0,Sep 2016,1.38,90,64.0,Sports / Basketball,,,,,,,,
Quantum Conundrum,https://www.xbox.com/en-us/games/store/Quantum-Conundrum/BWN07CHBVZL3,BWN07CHBVZL3,XB360/OG Xbox,,GwG Permanent,Mar 2018,Mar 2018,0.47,Apr 2012,5.93,78,,Puzzle,,Backwards Compatible,,,,,,
Trials of the Blood Dragon,https://www.xbox.com/en-us/games/store/Trials-of-the-Blood-Dragon/BPPR6D5C2GLF,BPPR6D5C2GLF,XB1/Series X|S,,GwG Temporary,Mar 2018,Mar 2018,0.97,Jun 2016,1.72,55,,Racing,,,,,,,,
Trials of the Blood Dragon,https://www.xbox.com/en-us/games/store/Trials-of-the-Blood-Dragon/BPPR6D5C2GLF,BPPR6D5C2GLF,XB1/Series X|S,,GwG Temporary,Mar 2018,Mar 2018,0.97,Jun 2016,1.72,55,,Racing,,,,,,,,
Comix Zone,https://www.xbox.com/en-us/games/store/Comix-Zone/BQSWVZL01GTK,BQSWVZL01GTK,Xbox,,Removed,Jun 2017,Mar 2018,9.97,Aug 1995,21.83,71,2.0,Action / Brawler,,,,,,,,
Brave: The Video Game,https://www.xbox.com/en-us/games/store/Brave-The-Video-Game/BPBWQZRC5JGG,BPBWQZRC5JGG,XB360/OG Xbox,,GwG Permanent,Mar 2018,Mar 2018,0.47,Oct 2015,2.38,73,,Action,,Backwards Compatible,,,,,,
Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6,XB1/Series X|S,,GwG Temporary,Feb 2018,Mar 2018,0.97,Jan 2016,2.09,63,,Action-Adventure,,,,,,,,
Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6,XB1/Series X|S,,GwG Temporary,Feb 2018,Mar 2018,0.97,Jan 2016,2.09,63,,Action-Adventure,,,,,,,,
CAPCOM Arcade Cabinet,https://www.xbox.com/en-us/games/store/CAPCOM-ARCADE-CABINET/C26KM7D5BG4S,C26KM7D5BG4S,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Feb 2013,4.28,68,6.0,Action / Compilation / Shoot 'Em Up,,,,,,,,
Dark Void,https://www.xbox.com/en-us/games/store/Dark-Void/C47VK1FQBPND,C47VK1FQBPND,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Jan 2010,7.38,59,8.0,Shooter,,,,,Xbox 360,,,
Dark Void,https://www.xbox.com/en-us/games/store/Dark-Void/C47VK1FQBPND,C47VK1FQBPND,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Jan 2010,7.38,59,8.0,Shooter,,,,,Xbox 360,,,
SEGA Vintage Collection: Monster World,https://www.xbox.com/en-us/games/store/Sega-Vintage-Collection-Monster-World/BRL4TWKNVT82,BRL4TWKNVT82,Xbox,,Removed,Jun 2017,Mar 2018,9.0,May 2012,5.02,72,70.0,Compilation,,,,,,,,
SEGA Vintage Collection: Streets of Rage,https://www.xbox.com/en-us/games/store/Sega-Vintage-Collection-Streets-of-Rage/BZZX30G7MBFZ,BZZX30G7MBFZ,Xbox,,Removed,Jun 2017,Mar 2018,9.0,May 2012,5.0,84,2.0,Compilation,,,,,,,,
Strider,https://www.xbox.com/en-us/games/store/Strider/BXDT91NTZNDV,BXDT91NTZNDV,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Feb 2014,3.29,76,6.0,Platformer / Action-Adventure,,,,,,,,
Virtua Fighter 5 Final Showdown,https://www.xbox.com/en-us/games/store/Virtua-Fighter-5-Final-Showdown/BV9X47B38W0M,BV9X47B38W0M,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Jun 2012,4.99,81,1.0,Fighting,,,,,,,,
Virtua Fighter 5 Final Showdown,https://www.xbox.com/en-us/games/store/Virtua-Fighter-5-Final-Showdown/BV9X47B38W0M,BV9X47B38W0M,Xbox,,Removed,Jun 2017,Mar 2018,9.0,Jun 2012,4.99,81,1.0,Fighting,,,,,,,,
Crazy Taxi,https://www.xbox.com/en-us/games/store/Crazy-Taxi/BTB16H9WG3JT,BTB16H9WG3JT,XB360/OG Xbox,,GwG Permanent,Feb 2018,Feb 2018,0.4,Nov 2010,7.23,59,,Racing,,Backwards Compatible,,,,,,
Shadow Warrior,https://www.xbox.com/en-us/games/store/Shadow-Warrior/BR7ZJJHGWT5X,BR7ZJJHGWT5X,XB1/Series X|S,,GwG Temporary,Feb 2018,Feb 2018,0.9,Sep 2013,4.35,73,,Shooter,,,,,,,,
Shadow Warrior,https://www.xbox.com/en-us/games/store/Shadow-Warrior/BR7ZJJHGWT5X,BR7ZJJHGWT5X,XB1/Series X|S,,GwG Temporary,Feb 2018,Feb 2018,0.9,Sep 2013,4.35,73,,Shooter,,,,,,,,
Zombi,https://www.xbox.com/en-us/games/store/ZOMBI/BR03N9C6Z9G6,BR03N9C6Z9G6,XB1/Series X|S,,GwG Temporary,Jan 2018,Feb 2018,0.97,Nov 2012,5.16,77,19.0,Shooter,,,,,,,,
Zombi,https://www.xbox.com/en-us/games/store/ZOMBI/BR03N9C6Z9G6,BR03N9C6Z9G6,XB1/Series X|S,,GwG Temporary,Jan 2018,Feb 2018,0.97,Nov 2012,5.16,77,19.0,Shooter,,,,,,,,
Army of Two,https://www.xbox.com/en-us/games/store/Army-of-Two/C1LM235H6FZ1,C1LM235H6FZ1,XB360/OG Xbox,,GwG Permanent,Jan 2018,Jan 2018,0.47,Mar 2008,9.86,,,Shooter,,Backwards Compatible,,,,,,
Army of Two,https://www.xbox.com/en-us/games/store/Army-of-Two/C1LM235H6FZ1,C1LM235H6FZ1,XB360/OG Xbox,,GwG Permanent,Jan 2018,Jan 2018,0.47,Mar 2008,9.86,,,Shooter,,Backwards Compatible,,,,,,
The Incredible Adventures of Van Helsing III,https://www.xbox.com/en-us/games/store/The-Incredible-Adventures-of-Van-Helsing-III/BX11KNLHDZ5K,BX11KNLHDZ5K,XB1/Series X|S,,GwG Temporary,Jan 2018,Jan 2018,0.97,May 2015,2.61,64,,Action‑Adventure,,Backwards Compatible,,,,,,
Tomb Raider: Underworld,https://www.xbox.com/en-us/games/store/Tomb-Raider-Underworld/BVMFBCFLL6QP,BVMFBCFLL6QP,XB360/OG Xbox,,GwG Permanent,Jan 2018,Jan 2018,0.47,Nov 2008,9.12,76,10.0,Action‑Adventure,,Backwards Compatible,,,,,,
Warhammer: End Times - Vermintide,https://www.xbox.com/en-us/games/store/Warhammer-End-Times-Vermintide/BWX7S94S2LMJ,BWX7S94S2LMJ,XB1/Series X|S,,GwG Temporary,Dec 2017,Dec 2017,0.97,Oct 2015,2.11,79,,Shooter,,Backwards Compatible,,,,,,
NBA 2K16,https://www.xbox.com/en-us/games/store/nba-2k16/bq051xffmzhv,bq051xffmzhv,Xbox,,Removed,Jun 2017,Dec 2017,6.97,Sep 2015,1.68,86,24.0,Sports / Basketball,,,,,,,,
Child of Eden,https://www.xbox.com/en-us/games/store/Child-of-Eden/BSFN4W47NCT4,BSFN4W47NCT4,XB360/OG Xbox,,GwG Permanent,Dec 2017,Dec 2017,0.47,Jun 2011,6.46,84,,Shooter,,Backwards Compatible,,,,,,
Tales from the Borderlands,https://www.xbox.com/en-us/games/store/Tales-from-the-Borderlands/BV5623GKKLGV,BV5623GKKLGV,XB1/Series X|S,,GwG Temporary,Nov 2017,Dec 2017,0.97,Oct 2015,2.07,85,10.0,Action‑Adventure,,,,,,,,
Deadfall Adventures,https://www.xbox.com/en-us/games/store/Deadfall-Adventures/BXT8LL7LMZ8N,BXT8LL7LMZ8N,XB360/OG Xbox,,GwG Permanent,Nov 2017,Nov 2017,0.47,Nov 2013,4.0,53,8.0,Shooter,,Backwards Compatible,,,,,,
Trackmania Turbo,https://www.xbox.com/en-us/games/store/Trackmania-Turbo/C3SQQG5Q6Z64,C3SQQG5Q6Z64,XB1/Series X|S,,GwG Temporary,Nov 2017,Nov 2017,0.97,Mar 2016,1.61,81,15.0,Racing,,,,,,,,
Trackmania Turbo,https://www.xbox.com/en-us/games/store/Trackmania-Turbo/C3SQQG5Q6Z64,C3SQQG5Q6Z64,XB1/Series X|S,,GwG Temporary,Nov 2017,Nov 2017,0.97,Mar 2016,1.61,81,15.0,Racing,,,,,,,,
NiGHTS into Dreams,https://www.xbox.com/en-us/games/store/NiGHTS-into-dreams/BS38ZDJVT78N,BS38ZDJVT78N,XB360/OG Xbox,,GwG Permanent,Nov 2017,Nov 2017,0.47,Sep 1991,26.11,90,,Platformer,,Backwards Compatible,,,,,,
The Turing Test,https://www.xbox.com/en-us/games/store/The-Turing-Test/BS2MMFVLKXRK,BS2MMFVLKXRK,XB1/Series X|S,,GwG Temporary,Oct 2017,Nov 2017,0.97,Aug 2018,-0.87,82,,Puzzle,,,,,,,,
The Turing Test,https://www.xbox.com/en-us/games/store/The-Turing-Test/BS2MMFVLKXRK,BS2MMFVLKXRK,XB1/Series X|S,,GwG Temporary,Oct 2017,Nov 2017,0.97,Aug 2018,-0.87,82,,Puzzle,,,,,,,,
Medal of Honor: Airborne,https://www.xbox.com/en-us/games/store/Medal-of-Honor-Airborne/C43H00X6KZRJ,C43H00X6KZRJ,XB360/OG Xbox,,GwG Permanent,Oct 2017,Oct 2017,0.47,Jun 2007,10.37,87,,Shooter,,Backwards Compatible,,,,,,
Medal of Honor: Airborne,https://www.xbox.com/en-us/games/store/Medal-of-Honor-Airborne/C43H00X6KZRJ,C43H00X6KZRJ,XB360/OG Xbox,,GwG Permanent,Oct 2017,Oct 2017,0.47,Jun 2007,10.37,87,,Shooter,,Backwards Compatible,,,,,,
Rayman 3 HD,https://www.xbox.com/en-us/games/store/Rayman-3-HD/BP664P1CXKKF,BP664P1CXKKF,XB360/OG Xbox,,GwG Permanent,Oct 2017,Oct 2017,0.47,Sep 2012,5.01,82,,Platformer,,Backwards Compatible,,,,,,
Oxenfree,https://www.xbox.com/en-us/games/store/Oxenfree/BSK1GN27RB8R,BSK1GN27RB8R,XB1/Series X|S,,GwG Temporary,Sep 2017,Oct 2017,0.97,Jan 2016,1.67,78,,Adventure,,,,,,,,
Oxenfree,https://www.xbox.com/en-us/games/store/Oxenfree/BSK1GN27RB8R,BSK1GN27RB8R,XB1/Series X|S,,GwG Temporary,Sep 2017,Oct 2017,0.97,Jan 2016,1.67,78,,Adventure,,,,,,,,
Battlefield 3,https://www.xbox.com/en-us/games/store/Battlefield-3/BRN6BHDHB58J,BRN6BHDHB58J,XB360/OG Xbox,,GwG Permanent,Sep 2017,Sep 2017,0.47,Oct 2011,5.89,94,,Shooter,,Backwards Compatible,,,,,,
Forza Motorsport 5,https://www.xbox.com/en-us/games/store/Forza-Motorsport-5/BQLK685TM311,BQLK685TM311,XB1/Series X|S,,GwG Temporary,Sep 2017,Sep 2017,0.97,Nov 2013,3.78,79,17.0,Racing,,,,,,,,
Hydro Thunder Hurricane,https://www.xbox.com/en-us/games/store/Hydro-Thunder-Hurricane/9WZDNCRFHWFD,9WZDNCRFHWFD,XB360/OG Xbox,,GwG Permanent,Sep 2017,Sep 2017,0.47,Dec 2013,3.74,69,,Racing,,Backwards Compatible,,,,,,
Trials Fusion,https://www.xbox.com/en-us/games/store/Trials-Fusion/BVCRSR6XSDW5,BVCRSR6XSDW5,XB1/Series X|S,,GwG Temporary,Aug 2017,Sep 2017,0.97,Apr 2014,3.32,79,,Racing,,,,,,,,
Trials Fusion,https://www.xbox.com/en-us/games/store/Trials-Fusion/BVCRSR6XSDW5,BVCRSR6XSDW5,XB1/Series X|S,,GwG Temporary,Aug 2017,Sep 2017,0.97,Apr 2014,3.32,79,,Racing,,,,,,,,
Red Faction: Armageddon,https://www.xbox.com/en-us/games/store/Red-Faction-Armageddon/BWB89BB14C5H,BWB89BB14C5H,XB360/OG Xbox,,GwG Permanent,Aug 2017,Aug 2017,0.47,Jun 2011,6.19,71,,Shooter,,Backwards Compatible,,,,,,
Slime Rancher,https://www.xbox.com/en-us/games/store/Slime-Rancher/C2NC88M7NWZ1,C2NC88M7NWZ1,XB1/Series X|S,,GwG Temporary,Aug 2017,Aug 2017,0.97,Aug 2017,0.0,81,,Action-Adventure,,Backwards Compatible,,,,,,
Slime Rancher,https://www.xbox.com/en-us/games/store/Slime-Rancher/C2NC88M7NWZ1,C2NC88M7NWZ1,XB1/Series X|S,,GwG Temporary,Aug 2017,Aug 2017,0.97,Aug 2017,0.0,81,,Action-Adventure,,Backwards Compatible,,,,,,
Bayonetta,https://www.xbox.com/en-us/games/store/Bayonetta-Vanquish-10th-Anniversary-Bundle/9NMKCN016SNF,9NMKCN016SNF,XB360/OG Xbox,,GwG Permanent,Aug 2017,Aug 2017,0.47,Jan 2010,7.57,,12.0,Action‑Adventure,,Backwards Compatible,,,,,,
Bayonetta,https://www.xbox.com/en-us/games/store/Bayonetta-Vanquish-10th-Anniversary-Bundle/9NMKCN016SNF,9NMKCN016SNF,XB360/OG Xbox,,GwG Permanent,Aug 2017,Aug 2017,0.47,Jan 2010,7.57,,12.0,Action‑Adventure,,Backwards Compatible,,,,,,
Runbow,https://www.xbox.com/en-us/games/store/Runbow/BTFTN6N7GN18,BTFTN6N7GN18,XB1/Series X|S,,GwG Temporary,Jul 2017,Aug 2017,0.97,Nov 2015,1.66,77,,Platformer,,,,,,,,
Dungeons & Dragons: Chronicles of Mystara,https://www.xbox.com/en-us/games/store/Dungeons-Dragons-Chronicles-of-Mystara/C52HDXHZV2KR,C52HDXHZV2KR,Xbox,,Removed,Jun 2017,Aug 2017,2.47,Jun 2013,3.95,77,2.0,Action / RPG / Brawler / Action-Adventure,,,,,,,,
LEGO Pirates of the Caribbean: The Video Game,https://www.xbox.com/en-us/games/store/LEGO-Pirates-of-the-Caribbean-The-Video-Game/BRH7S5QHZ0Q8,BRH7S5QHZ0Q8,XB360/OG Xbox,,GwG Permanent,Jul 2017,Jul 2017,0.47,May 2011,6.18,73,27.0,Action-Adventure,,Backwards Compatible,,,,,,
Dragon Age: Origins,https://www.xbox.com/en-us/games/store/Dragon-Age-Origins/BS9SX4Q6XJRF,BS9SX4Q6XJRF,XB360/OG Xbox,,GwG Permanent,Jun 2017,Jun 2017,0.47,Nov 2009,7.62,91,63.0,RPG,,Backwards Compatible,,,,,,
SpeedRunners,https://www.xbox.com/en-us/games/store/SpeedRunners/C3PB0BP0G04L,C3PB0BP0G04L,XB1/Series X|S,,GwG Temporary,Jun 2017,Jun 2017,0.97,Aug 2013,3.8,78,6.0,Action-Adventure,,,,,,,,
Assassin's Creed III,https://www.xbox.com/en-us/games/store/Assassins-Creed-III-Remastered/BPMJ413V6BB2,BPMJ413V6BB2,XB360/OG Xbox,,GwG Permanent,Jun 2017,Jun 2017,0.47,Nov 2012,4.53,85,19.0,Action-Adventure,,Backwards Compatible,,,,,,
Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,XB1/Series X|S,,GwG Temporary,May 2017,Jun 2017,0.97,Dec 2014,2.44,74,5.0,Action-Adventure,,,,,,,,
Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,XB1/Series X|S,,GwG Temporary,May 2017,Jun 2017,0.97,Dec 2014,2.44,74,5.0,Action-Adventure,,,,,,,,
Lego Star Wars: The Complete Saga,https://www.xbox.com/en-us/games/store/LEGO-Star-Wars-TCS/BTT25GGLG6KD,BTT25GGLG6KD,XB360/OG Xbox,,GwG Permanent,May 2017,May 2017,0.47,Nov 2007,9.53,80,24.0,Action-Adventure,,Backwards Compatible,,,,,,
Giana Sisters: Twisted Dreams – Director's Cut,https://www.xbox.com/en-us/games/store/Giana-Sisters-Twisted-Dreams-Directors-Cut/C48XJRK40VC4,C48XJRK40VC4,XB1/Series X|S,,GwG Temporary,May 2017,May 2017,0.97,Oct 2012,4.52,83,8.0,Platformer,,,,,,,,
Star Wars: The Force Unleashed II,https://www.xbox.com/en-us/games/store/Star-Wars-The-Force-Unleashed-II/BS68QN8SV1BN,BS68QN8SV1BN,XB360/OG Xbox,,GwG Permanent,May 2017,May 2017,0.47,Oct 2010,6.51,74,8.0,Action-Adventure,,Backwards Compatible,,,,,,
Star Wars: The Force Unleashed II,https://www.xbox.com/en-us/games/store/Star-Wars-The-Force-Unleashed-II/BS68QN8SV1BN,BS68QN8SV1BN,XB360/OG Xbox,,GwG Permanent,May 2017,May 2017,0.47,Oct 2010,6.51,74,8.0,Action-Adventure,,Backwards Compatible,,,,,,
The Walking Dead: Season Two,https://www.xbox.com/en-us/games/store/The-Walking-Dead-Season-Two/C2DQXX0CB42F,C2DQXX0CB42F,XB1/Series X|S,,GwG Temporary,Apr 2017,May 2017,0.97,Dec 2013,3.33,85,7.0,Adventure,,,,,,,,
The Walking Dead: Season Two,https://www.xbox.com/en-us/games/store/The-Walking-Dead-Season-Two/C2DQXX0CB42F,C2DQXX0CB42F,XB1/Series X|S,,GwG Temporary,Apr 2017,May 2017,0.97,Dec 2013,3.33,85,7.0,Adventure,,,,,,,,
Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR,XB360/OG Xbox,,GwG Permanent,Apr 2017,Apr 2017,0.47,Nov 2011,5.42,80,13.0,Action-Adventure,,Backwards Compatible,,,,,,
Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR,XB360/OG Xbox,,GwG Permanent,Apr 2017,Apr 2017,0.47,Nov 2011,5.42,80,13.0,Action-Adventure,,Backwards Compatible,,,,,,
Ryse: Son of Rome,https://www.xbox.com/en-us/games/store/Ryse-Son-of-Rome-In-Game-Gold/C29LML3XCBJZ,C29LML3XCBJZ,XB1/Series X|S,,GwG Temporary,Apr 2017,Apr 2017,0.97,Nov 2013,3.36,69,7.0,Action-Adventure,,,,,,,,
Ryse: Son of Rome,https://www.xbox.com/en-us/games/store/Ryse-Legendary-Edition/C4F7ZHLN6B2J,C4F7ZHLN6B2J,XB1/Series X|S,,GwG Temporary,Apr 2017,Apr 2017,0.97,Nov 2013,3.36,69,7.0,Action-Adventure,,,,,,,,
Darksiders,https://www.xbox.com/en-us/games/store/Darksiders/BTXC0RGTT3XN,BTXC0RGTT3XN,XB360/OG Xbox,,GwG Permanent,Apr 2017,Apr 2017,0.47,Jan 2010,7.24,85,14.0,Action-Adventure,Enhanced,Backwards Compatible,,,,,,
Evolve: Ultimate Edition,https://www.xbox.com/en-us/games/store/Evolve/C4HHJM5JSSJ1,C4HHJM5JSSJ1,XB1/Series X|S,,GwG Temporary,Mar 2017,Apr 2017,0.97,Oct 2016,0.45,67,12.0,Shooter,,,,,,,,
Heavy Weapon,https://www.xbox.com/en-us/games/store/Heavy-Weapon/BZ910SG8ML8X,BZ910SG8ML8X,XB360/OG Xbox,,GwG Permanent,Mar 2017,Mar 2017,0.47,Oct 2006,10.41,74,3.0,Shooter,,Backwards Compatible,,,,,,
Heavy Weapon,https://www.xbox.com/en-us/games/store/Heavy-Weapon/BZ910SG8ML8X,BZ910SG8ML8X,XB360/OG Xbox,,GwG Permanent,Mar 2017,Mar 2017,0.47,Oct 2006,10.41,74,3.0,Shooter,,Backwards Compatible,,,,,,
Layers of Fear,https://www.xbox.com/en-us/games/store/Layers-of-Fear-Masterpiece-Edition/BQNBKCDB2TPR,BQNBKCDB2TPR,XB1/Series X|S,,GwG Temporary,Mar 2017,Mar 2017,0.97,May 2016,0.76,76,6.0,Action-Adventure,,,,,,,,
Layers of Fear,https://www.xbox.com/en-us/games/store/Layers-of-Fear-Masterpiece-Edition/BQNBKCDB2TPR,BQNBKCDB2TPR,XB1/Series X|S,,GwG Temporary,Mar 2017,Mar 2017,0.97,May 2016,0.76,76,6.0,Action-Adventure,,,,,,,,
Borderlands 2,https://www.xbox.com/en-us/games/store/Borderlands-2/BRC33X34H2C9,BRC33X34H2C9,XB360/OG Xbox,,GwG Permanent,Mar 2017,Mar 2017,0.47,Sep 2012,4.45,91,25.0,Shooter,,Backwards Compatible,,,,,,
Borderlands 2,https://www.xbox.com/en-us/games/store/Borderlands-2/BRC33X34H2C9,BRC33X34H2C9,XB360/OG Xbox,,GwG Permanent,Mar 2017,Mar 2017,0.47,Sep 2012,4.45,91,25.0,Shooter,,Backwards Compatible,,,,,,
Project CARS,https://www.xbox.com/en-us/games/store/Project-Cars/BTH1TVQQ39LR,BTH1TVQQ39LR,XB1/Series X|S,,GwG Temporary,Feb 2017,Mar 2017,0.97,May 2015,1.78,77,22.0,Racing,,,,,,,,
Star Wars: The Force Unleashed,https://www.xbox.com/en-us/games/store/Star-Wars-The-Force-Unleashed-II/BS68QN8SV1BN,BS68QN8SV1BN,XB360/OG Xbox,,GwG Permanent,Feb 2017,Feb 2017,0.4,Sep 2008,8.42,83,10.0,Action-Adventure,Enhanced,Backwards Compatible,,,,,,
Star Wars: The Force Unleashed,https://www.xbox.com/en-us/games/store/Star-Wars-The-Force-Unleashed-II/BS68QN8SV1BN,BS68QN8SV1BN,XB360/OG Xbox,,GwG Permanent,Feb 2017,Feb 2017,0.4,Sep 2008,8.42,83,10.0,Action-Adventure,Enhanced,Backwards Compatible,,,,,,
Lovers in a Dangerous Spacetime,https://www.xbox.com/en-us/games/store/Lovers-in-a-Dangerous-Spacetime/BQN4N3CGBV1N,BQN4N3CGBV1N,XB1/Series X|S,,GwG Temporary,Feb 2017,Feb 2017,0.9,Sep 2015,1.39,82,6.0,Action-Adventure,,,,,,,,
Monkey Island 2 Special Edition: LeChuck's Revenge,https://www.xbox.com/en-us/games/store/Monkey-Island-2-SE/C1S60CRC51JC,C1S60CRC51JC,XB360/OG Xbox,,GwG Permanent,Feb 2017,Feb 2017,0.47,Jul 2010,6.54,78,8.0,Adventure,,Backwards Compatible,,,,,,
Killer Instinct Season 2 Ultra Edition,https://www.xbox.com/en-us/games/store/Killer-Instinct-2-Classic/C2HDBXXNXT7R,C2HDBXXNXT7R,XB1/Series X|S,,GwG Temporary,Jan 2017,Feb 2017,0.97,Nov 2016,0.13,79,6.0,Fighting,,,,,,,,
World of Van Helsing: Deathtrap,https://www.xbox.com/en-us/games/store/World-of-Van-Helsing-Deathtrap/BWNWBTBKF61V,BWNWBTBKF61V,XB1/Series X|S,,GwG Temporary,Jan 2017,Jan 2017,0.97,Aug 2013,3.38,66,12.0,Tower Defense,,,,,,,,
World of Van Helsing: Deathtrap,https://www.xbox.com/en-us/games/store/World-of-Van-Helsing-Deathtrap/BWNWBTBKF61V,BWNWBTBKF61V,XB1/Series X|S,,GwG Temporary,Jan 2017,Jan 2017,0.97,Aug 2013,3.38,66,12.0,Tower Defense,,,,,,,,
The Cave,https://www.xbox.com/en-us/games/store/The-Cave/BTBWBGKPKS97,BTBWBGKPKS97,XB360/OG Xbox,,GwG Permanent,Jan 2017,Jan 2017,0.47,Nov 2013,3.15,72,5.0,Adventure,,Backwards Compatible,,,,,,
The Cave,https://www.xbox.com/en-us/games/store/The-Cave/BTBWBGKPKS97,BTBWBGKPKS97,XB360/OG Xbox,,GwG Permanent,Jan 2017,Jan 2017,0.47,Nov 2013,3.15,72,5.0,Adventure,,Backwards Compatible,,,,,,
Burnout Paradise,https://www.xbox.com/en-us/games/store/Burnout-Paradise-Remastered/BQMQ3K1BLV1T,BQMQ3K1BLV1T,XB360/OG Xbox,,GwG Permanent,Dec 2016,Dec 2016,0.47,Jan 2008,8.9,88,10.0,Racing,,Backwards Compatible,,,,,,
Outland,https://www.xbox.com/en-us/games/store/Outland/BPDDQWC1NJ3N,BPDDQWC1NJ3N,XB360/OG Xbox,,GwG Permanent,Dec 2016,Dec 2016,0.47,Jun 2011,5.44,78,6.0,Platformer,,Backwards Compatible,,,,,,
Murdered: Soul Suspect,https://www.xbox.com/en-us/games/store/Murdered-Soul-Suspect/BP5XCJQK5HQH,BP5XCJQK5HQH,XB1/Series X|S,,GwG Temporary,Nov 2016,Dec 2016,0.97,Jun 2014,2.45,59,7.0,Adventure,,,,,,,,
Super Dungeon Bros,https://www.xbox.com/en-us/games/store/Super-Dungeon-Bros/BR36ZLXRTK08,BR36ZLXRTK08,XB1/Series X|S,,GwG Temporary,Nov 2016,Nov 2016,0.97,Dec 2014,1.91,64,6.0,Action-Adventure,,,,,,,,
The Secret of Monkey Island: Special Edition,https://www.xbox.com/en-us/games/store/Monkey-Island-SE/C1DNPSJ9362C,C1DNPSJ9362C,XB360/OG Xbox,,GwG Permanent,Nov 2016,Nov 2016,0.47,Jul 2010,6.29,86,7.0,Adventure,,Backwards Compatible,,,,,,
The Escapists,https://www.xbox.com/en-us/games/store/The-Escapists/BZDK396HW2G8,BZDK396HW2G8,XB1/Series X|S,,GwG Temporary,Oct 2016,Nov 2016,0.97,Feb 2015,1.68,79,15.0,Strategy,,,,,,,,
The Escapists,https://www.xbox.com/en-us/games/store/The-Escapists/BZDK396HW2G8,BZDK396HW2G8,XB1/Series X|S,,GwG Temporary,Oct 2016,Nov 2016,0.97,Feb 2015,1.68,79,15.0,Strategy,,,,,,,,
I Am Alive,https://www.xbox.com/en-us/games/store/I-Am-Alive/C50F2WS79THT,C50F2WS79THT,XB360/OG Xbox,,GwG Permanent,Oct 2016,Oct 2016,0.47,Mar 2012,4.61,64,6.0,Survival,,Backwards Compatible,,,,,,
Super Mega Baseball: Extra Innings,https://www.xbox.com/en-us/games/store/Super-Mega-Baseball-Extra-Innings/BNV84CCNXB7J,BNV84CCNXB7J,XB1/Series X|S,,GwG Temporary,Oct 2016,Oct 2016,0.97,Mar 2016,0.5,80,12.0,Sports,,,,,,,,
Super Mega Baseball: Extra Innings,https://www.xbox.com/en-us/games/store/Super-Mega-Baseball-Extra-Innings/BNV84CCNXB7J,BNV84CCNXB7J,XB1/Series X|S,,GwG Temporary,Oct 2016,Oct 2016,0.97,Mar 2016,0.5,80,12.0,Sports,,,,,,,,
